entity_id,outcome_date,defaulted
f37266b9-61ac-475f-a4e5-6cdda529fde5,2025-06-01,1
916ad417-7146-42c5-b89f-d783de85350a,2025-06-01,1
83308e28-6bb5-4c12-86cf-34a226dcbf2f,2025-06-01,1
79dc707d-534d-461a-a4f5-ce6fad5516c0,2025-06-01,1
faaa7088-e00b-4701-986d-9101efb12246,2025-06-01,0
ece157d5-02ee-48a1-852b-f30684f9b990,2025-06-01,1
41b5443f-deb9-4b57-9311-4094b6798d36,2025-06-01,0
92fd2b33-538d-43c6-952d-10b75ed68fb5,2025-06-01,1
32863f51-6ae7-4150-ba10-12cce0a16fe3,2025-06-01,1
28439f37-2180-44d3-92a6-7eb3bee4c6ea,2025-06-01,1
9c935ce6-a650-4fa7-bda5-8c3cd701740c,2025-06-01,1
4e679ec8-0292-41a7-9a1b-17cf46c4db75,2025-06-01,1
c9c07e64-74c4-4613-a63f-8c2cc82f4748,2025-06-01,1
9a793648-5e49-469b-900d-20690c909288,2025-06-01,1
f3fa4edb-4d01-492b-807c-4f87636a85bb,2025-06-01,1
2945434f-ab81-4cfb-9e8b-db3ca040ce29,2025-06-01,1
da0426ed-130d-42b1-aa12-29f5bb9be31f,2025-06-01,1
c8dc2c22-a63d-4b11-95c7-d7b2de357bd7,2025-06-01,1
9b50c768-e412-437a-8d6b-d0d04218a05f,2025-06-01,0
3f98185f-5379-42b2-a977-2d46001b0992,2025-06-01,1
0013e19a-c008-45f7-883b-aac7f4eaaebc,2025-06-01,0
94d1ab35-ff98-4273-8174-cea4423a40e3,2025-06-01,1
e2e9b471-a676-4178-ba76-77986bb5b687,2025-06-01,1
191d28aa-0cf1-4b6b-9ad3-b877148dc058,2025-06-01,1
dafb5bb7-d9ae-4ba4-899c-71cdbeec7f2a,2025-06-01,0
e6e55e3b-eec2-4c2c-90fd-f152fbea9d5d,2025-06-01,1
cda7eff3-6c67-406f-9335-c23b93854e32,2025-06-01,1
a75b5f36-321a-4bed-8e31-e0c9908ef1bc,2025-06-01,1
3e8236a6-f5fa-44be-8c21-f65db31c55ef,2025-06-01,0
1201e85a-61d7-4a70-b2d8-db7f48841961,2025-06-01,1
3d71a795-9240-44e7-98b8-2476fcecf2a1,2025-06-01,0
1b4b9740-b352-4d5d-8f80-a028a20d4b6f,2025-06-01,0
2047a5db-8aa5-45d3-9ee7-ce34bc1393c8,2025-06-01,1
f5cc550f-bd70-4996-a12e-310d9fb413fe,2025-06-01,0
746bccf9-b6e1-409a-95f5-87820615c2da,2025-06-01,1
ded672b0-6359-491c-b8be-7ea714b81563,2025-06-01,1
397aa9a1-d647-4a1d-a79d-e60c6c82ed15,2025-06-01,0
bdf924ab-8e63-4b77-9bc3-de89ae321b9c,2025-06-01,1
3b8de001-22e8-4306-8a45-23622c30d374,2025-06-01,0
c9bd22f4-d670-4063-a9f1-040e74d4ffa5,2025-06-01,1
1a9d7b8b-f895-4c28-9897-279f6eb4833e,2025-06-01,1
85dd0ed4-8d8b-4372-b0b4-ac2bc825daff,2025-06-01,1
